sgRNA	gene	CRISPR_C6976459.sample	ERS717283.plasmid
ILF2_CCDS1050.1_ex9_1:153640488-153640511:-_5-5	ILF2	243	487
DHFRL1_CCDS2926.1_ex0_3:93780219-93780242:-_5-5	DHFRL1	246	230
CSRNP3_CCDS2225.1_ex1_2:166514376-166514399:+_5-1	CSRNP3	29	231
KIAA1456_CCDS47808.1_ex2_8:12878651-12878674:+_5-4	KIAA1456	409	374
CPE_CCDS3810.1_ex1_4:166385617-166385640:-_5-3	CPE	261	276
OCIAD1_CCDS3484.1_ex2_4:48844684-48844707:+_5-2	OCIAD1	0	5
RBBP7_CCDS14179.1_ex8_X:16876876-16876899:+_5-3	RBBP7	1305	471
ALDH1A3_CCDS10389.1_ex4_15:101433181-101433204:-_5-4	ALDH1A3	555	381
PCSK5_CCDS55320.1_ex4_9:78641882-78641905:+_5-3	PCSK5	220	29
P2RY6_CCDS8220.1_ex0_11:73007652-73007675:+_5-1	P2RY6	599	486
TFRC_CCDS3312.1_ex14_3:195798984-195799007:-_5-4	TFRC	285	756
PTF1A_CCDS7143.1_ex0_10:23481631-23481654:+_5-1	PTF1A	961	623
SMIM2_CCDS61320.1_ex1_13:44734846-44734869:+_5-3	SMIM2	591	384
NAE1_CCDS10820.1_ex13_16:66855351-66855374:-_5-4	NAE1	0	2
C9orf131_CCDS47961.1_ex2_9:35043845-35043868:+_5-4	C9orf131	254	331
SLFN12L_CCDS56026.1_ex1_17:33805078-33805101:+_5-1	SLFN12L	48	64
PYGL_CCDS32080.1_ex12_14:51383707-51383730:-_5-3	PYGL	510	608
FAM76A_CCDS309.1_ex4_1:28071300-28071323:+_5-5	FAM76A	260	198
IGSF6_CCDS10599.1_ex4_16:21658621-21658644:-_5-1	IGSF6	349	418
RPL36AL_CCDS9689.1_ex0_14:50085611-50085634:-_5-1	RPL36AL	0	259
ACY1_CCDS2844.1_ex3_3:52019884-52019907:-_5-3	ACY1	28	193
KCNB1_CCDS13418.1_ex0_20:47991210-47991233:-_5-1	KCNB1	1246	956
TMEM91_CCDS42571.1_ex1_19:41888686-41888709:+_5-5	TMEM91	570	315
TMA16_CCDS43278.1_ex4_4:164436591-164436614:+_5-5	TMA16	752	413
TTC18_CCDS7324.3_ex22_10:75104847-75104870:+_5-4	TTC18	944	827
CYorf17_CCDS65369.1_ex1_Y:23545430-23545453:+_5-1	CYorf17	2040	681
PLEKHA5_CCDS44840.2_ex1_12:19283014-19283037:-_10-4	PLEKHA5	568	400
LIPT2_CCDS44679.1_ex1_11:74204526-74204549:-_5-4	LIPT2	361	332
NFATC1_CCDS12015.1_ex1_18:77170515-77170538:-_11-1	NFATC1	332	512
PRRC2C_CCDS1296.2_ex14_1:171510712-171510735:-_5-5	PRRC2C	228	344
IRF2BP2_CCDS1602.1_ex1_1:234745081-234745104:+_5-5	IRF2BP2	496	475
BMP4_CCDS9715.1_ex0_14:54417429-54417452:+_5-2	BMP4	0	46
ISM1_CCDS46579.1_ex2_20:13260280-13260303:+_5-3	ISM1	841	381
EMC6_CCDS11033.1_ex0_17:3572532-3572555:+_5-2	EMC6	1551	705
RPL3_CCDS13988.1_ex7_22:39713578-39713601:+_5-4	RPL3	18	123
VARS_CCDS34412.1_ex28_6:31762678-31762701:-_5-5	VARS	30	433
TAC3_CCDS53803.1_ex3_12:57409454-57409477:+_5-5	TAC3	196	212
SMC1A_CCDS14352.1_ex15_X:53432738-53432761:-_5-1	SMC1A	35	368
TRIM55_CCDS6184.1_ex0_8:67039592-67039615:+_5-1	TRIM55	311	290
ALG9_CCDS41714.1_ex6_11:111715432-111715455:-_5-3	ALG9	438	361
OGDH_CCDS34627.1_ex1_7:44685100-44685123:+_5-3	OGDH	29	230
MYH9_CCDS13927.1_ex36_22:36722638-36722661:+_5-5	MYH9	886	482
GNPDA1_CCDS4272.1_ex4_5:141387435-141387458:+_5-5	GNPDA1	493	478
LCN10_CCDS35182.2_ex4_9:139636324-139636347:+_5-3	LCN10	1985	696
KPNA1_CCDS3013.1_ex7_3:122170862-122170885:-_5-2	KPNA1	1090	430
MAP1LC3C_CCDS31074.1_ex1_1:242161849-242161872:-_5-3	MAP1LC3C	1249	974
HYAL3_CCDS2815.1_ex0_3:50330915-50330938:-_14-3	HYAL3	2372	1020
PDCD4_CCDS44478.1_ex1_10:112641166-112641189:+_5-3	PDCD4	758	598
PAPLN_CCDS32114.1_ex6_14:73718456-73718479:-_5-4	PAPLN	461	608
UCHL1_CCDS3462.1_ex3_4:41262742-41262765:-_5-3	UCHL1	169	145
F10_CCDS9530.1_ex1_13:113783871-113783894:+_5-1	F10	676	348
OTOP2_CCDS11708.1_ex0_17:72920867-72920890:+_5-1	OTOP2	170	180
ESYT3_CCDS3101.2_ex8_3:138183257-138183280:+_5-5	ESYT3	495	591
R3HCC1_CCDS47826.1_ex1_8:23148970-23148993:-_5-2	R3HCC1	190	266
ZNHIT2_CCDS8094.1_ex0_11:64884666-64884689:+_5-3	ZNHIT2	569	865
NSG1_CCDS3376.1_ex2_4:4411349-4411372:-_5-3	NSG1	797	274
IL4I1_CCDS12786.1_ex4_19:50398402-50398425:-_5-4	IL4I1	108	431
C1orf105_CCDS1301.1_ex4_1:172431360-172431383:-_5-4	C1orf105	0	4
GP5_CCDS3307.1_ex0_3:194118260-194118283:+_5-1	GP5	162	155
SLC25A32_CCDS6300.1_ex3_8:104415401-104415424:-_5-2	SLC25A32	467	209
CSH1_CCDS11649.1_ex1_17:61972952-61972975:+_2-1	CSH1	1013	475
NAP1L4_CCDS41599.1_ex11_11:2997250-2997273:+_5-5	NAP1L4	1370	549
KBTBD13_CCDS45281.1_ex0_15:65369670-65369693:-_5-4	KBTBD13	1359	617
C12orf39_CCDS31757.1_ex3_12:21680690-21680713:+_5-4	C12orf39	520	308
HAUS6_CCDS6489.1_ex13_9:19093227-19093250:+_5-4	HAUS6	26	202
IL16_CCDS10317.1_ex0_15:81591928-81591951:+_5-1	IL16	126	461
TRIP12_CCDS33391.1_ex21_2:230667099-230667122:-_5-1	TRIP12	480	228
SHPRH_CCDS43513.2_ex25_6:146269457-146269480:+_5-4	SHPRH	1208	484
TRAF3IP3_CCDS1490.2_ex3_1:209936408-209936431:-_5-2	TRAF3IP3	355	291
CTR9_CCDS7805.1_ex11_11:10786173-10786196:+_5-5	CTR9	207	712
TBCB_CCDS12488.1_ex1_19:36607069-36607092:+_5-3	TBCB	755	965
STARD3NL_CCDS5455.1_ex1_7:38253945-38253968:+_5-4	STARD3NL	1184	366
DCUN1D3_CCDS10592.1_ex1_16:20873531-20873554:-_5-1	DCUN1D3	230	293
FASTKD3_CCDS3873.1_ex5_5:7867929-7867952:-_5-3	FASTKD3	826	410
FSIP1_CCDS10050.1_ex5_15:40031944-40031967:-_5-3	FSIP1	26	98
INPP5A_CCDS7669.2_ex7_10:134523881-134523904:-_5-4	INPP5A	866	672
MKKS_CCDS13111.1_ex3_20:10393505-10393528:+_5-3	MKKS	38	55
STAM2_CCDS2196.1_ex10_2:153004558-153004581:+_5-4	STAM2	302	363
ATMIN_CCDS32494.1_ex2_16:81076039-81076062:+_5-5	ATMIN	874	580
EHF_CCDS55752.1_ex2_11:34668085-34668108:-_5-2	EHF	686	390
MAGEF1_CCDS3269.1_ex0_3:184429371-184429394:-_5-4	MAGEF1	729	632
TAS2R60_CCDS5885.1_ex0_7:143140712-143140735:+_5-1	TAS2R60	121	97
EXOSC2_CCDS65160.1_ex5_9:133577575-133577598:-_5-4	EXOSC2	16	138
TFF2_CCDS13684.1_ex2_21:43770090-43770113:-_5-5	TFF2	569	452
EDIL3_CCDS4062.1_ex4_5:83362368-83362391:-_5-1	EDIL3	166	182
SYNGR3_CCDS10456.1_ex1_16:2042013-2042036:+_5-1	SYNGR3	1068	339
HHLA3_CCDS30752.1_ex1_1:70832121-70832144:+_7-6	HHLA3	154	125
CEP120_CCDS4134.2_ex11_5:122724249-122724272:+_5-1	CEP120	411	194
COA1_CCDS5471.1_ex2_7:43684981-43685004:+_5-5	COA1	636	341
RSPRY1_CCDS10775.1_ex0_16:57238807-57238830:-_5-2	RSPRY1	1282	733
CCDC82_CCDS8307.1_ex6_11:96117672-96117695:-_5-4	CCDC82	0	38
NUP133_CCDS1579.1_ex23_1:229637833-229637856:+_5-3	NUP133	91	220
DYNC1H1_CCDS9966.1_ex18_14:102467340-102467363:-_5-2	DYNC1H1	548	1440
SCPEP1_CCDS11593.1_ex2_17:55062744-55062767:-_5-1	SCPEP1	1127	637
FBXL18_CCDS43546.1_ex2_7:5541271-5541294:-_5-3	FBXL18	867	570
CLTCL1_CCDS46662.1_ex30_22:19263203-19263226:-_5-5	CLTCL1	505	705
DCC_CCDS11952.1_ex3_18:50450193-50450216:-_5-2	DCC	1160	612
ETV3_CCDS44250.1_ex0_1:157095653-157095676:+_9-2	ETV3	707	515
EFNA4_CCDS1089.1_ex1_1:155039403-155039426:-_5-4	EFNA4	31	87
XYLB_CCDS2678.1_ex7_3:38409726-38409749:+_5-4	XYLB	337	275
RBM19_CCDS9172.1_ex14_12:114386823-114386846:-_5-3	RBM19	226	508
TRIM38_CCDS4568.1_ex0_6:25966857-25966880:-_5-1	TRIM38	147	43
ZNF688_CCDS10684.1_ex0_16:30581740-30581763:-_5-3	ZNF688	224	360
LRRC20_CCDS7300.1_ex0_10:72061252-72061275:-_10-1	LRRC20	1068	568
GCC1_CCDS5796.1_ex1_7:127224268-127224291:+_5-2	GCC1	439	485
TLE6_CCDS12100.1_ex0_19:2987195-2987218:+_5-2	TLE6	665	281
SLC25A41_CCDS45937.1_ex4_19:6430018-6430041:-_5-1	SLC25A41	691	635
SEC24C_CCDS7332.1_ex7_10:75525212-75525235:+_5-3	SEC24C	1418	651
SYCP2L_CCDS43423.1_ex3_6:10894404-10894427:-_5-3	SYCP2L	344	328
AIM2_CCDS1181.1_ex2_1:159036072-159036095:-_5-3	AIM2	171	230
CAV2_CCDS5765.1_ex0_7:116139945-116139968:-_6-2	CAV2	25	635
TMEM40_CCDS2613.1_ex3_3:12778301-12778324:+_5-1	TMEM40	97	216
TOM1L2_CCDS32584.1_ex11_17:17801926-17801949:-_5-5	TOM1L2	83	150
NR0B2_CCDS291.1_ex1_1:27240268-27240291:+_5-4	NR0B2	105	334
SPON2_CCDS3347.1_ex2_4:1164961-1164984:+_5-2	SPON2	840	492
POU3F2_CCDS5040.1_ex0_6:99283087-99283110:-_5-2	POU3F2	2006	927
HEXDC_CCDS42402.1_ex4_17:80393562-80393585:+_5-4	HEXDC	122	207
SCMH1_CCDS30688.1_ex7_1:41541083-41541106:+_5-5	SCMH1	657	396
DNM3_CCDS44276.1_ex1_1:171890896-171890919:-_5-1	DNM3	1005	772
ZNF154_CCDS42639.1_ex0_19:58214048-58214071:+_5-4	ZNF154	123	336
SCN3B_CCDS8442.1_ex3_11:123516295-123516318:+_5-4	SCN3B	521	606
SPTA1_CCDS41423.1_ex36_1:158636144-158636167:-_5-2	SPTA1	201	265
JARID2_CCDS4533.1_ex6_6:15496630-15496653:-_5-1	JARID2	619	780
VWA3B_CCDS42718.1_ex3_2:98737801-98737824:-_5-4	VWA3B	487	655
IL6_CCDS5375.1_ex3_7:22769140-22769163:-_5-5	IL6	86	126
SAMD4A_CCDS32084.2_ex5_14:55227013-55227036:-_6-2	SAMD4A	279	504
PTAFR_CCDS318.1_ex0_1:28477290-28477313:-_5-3	PTAFR	13	40
SENP6_CCDS43483.1_ex2_6:76333615-76333638:+_5-1	SENP6	235	540
RPAP2_CCDS740.1_ex3_1:92769578-92769601:+_5-2	RPAP2	106	211
PAK1_CCDS44687.1_ex14_11:77103455-77103478:-_5-5	PAK1	73	248
STOX1_CCDS41535.1_ex2_10:70644738-70644761:-_12-11	STOX1	490	485
ZNF254_CCDS32983.1_ex3_19:24309395-24309418:-_11-8	ZNF254	100	47
MITD1_CCDS2040.1_ex5_2:99790422-99790445:-_5-3	MITD1	3	22
KIAA0430_CCDS10562.2_ex19_16:15719476-15719499:-_5-3	KIAA0430	377	284
TMEM259_CCDS12052.1_ex7_19:1013234-1013257:-_5-1	TMEM259	644	341
PITPNA_CCDS45563.1_ex5_17:1444864-1444887:-_5-2	PITPNA	1442	628
FAM211B_CCDS42991.1_ex1_22:24984282-24984305:-_5-2	FAM211B	511	451
CD300A_CCDS32720.1_ex3_17:72473631-72473654:-_5-4	CD300A	2642	725
TREML4_CCDS34446.1_ex1_6:41196747-41196770:+_5-5	TREML4	149	236
LARP6_CCDS10236.1_ex1_15:71146264-71146287:-_8-5	LARP6	806	696
JMJD7_CCDS45240.1_ex3_15:42127795-42127818:+_5-5	JMJD7	1251	737
IL12RB2_CCDS58006.1_ex4_1:67795274-67795297:-_5-4	IL12RB2	348	224
FAM179B_CCDS9681.1_ex0_14:45432535-45432558:+_5-3	FAM179B	1214	911
STT3B_CCDS2650.1_ex2_3:31621507-31621530:+_5-4	STT3B	449	487
SNRPB2_CCDS13123.1_ex2_20:16717932-16717955:+_5-5	SNRPB2	0	21
SNAPC4_CCDS6998.1_ex19_9:139290173-139290196:-_5-4	SNAPC4	257	298
FAM102A_CCDS35150.1_ex4_9:130707974-130707997:-_5-2	FAM102A	189	331
SLC37A3_CCDS5858.1_ex6_7:140058555-140058578:-_5-3	SLC37A3	784	444
NEUROD6_CCDS5434.1_ex0_7:31378570-31378593:-_5-2	NEUROD6	390	297
C5orf60_CCDS47353.1_ex2_5:179070464-179070487:-_5-1	C5orf60	258	72
NOD1_CCDS5427.1_ex8_7:30492314-30492337:+_5-1	NOD1	371	212
KRT80_CCDS41784.1_ex7_12:52579161-52579184:-_5-1	KRT80	255	335
MAP10_CCDS44334.1_ex0_1:232941119-232941142:-_5-1	MAP10	260	197
CUEDC1_CCDS11599.1_ex7_17:55957005-55957028:+_5-5	CUEDC1	1439	661
DNASE2_CCDS12284.1_ex1_19:12989347-12989370:+_5-1	DNASE2	44	210
ZNF222_CCDS33045.1_ex2_19:44536229-44536252:-_5-5	ZNF222	216	212
CCDC153_CCDS44753.1_ex2_11:119063854-119063877:+_5-2	CCDC153	1643	1087
KIAA1551_CCDS8725.2_ex0_12:32134726-32134749:+_5-2	KIAA1551	44	30
C12orf75_CCDS55879.1_ex2_12:105759598-105759621:+_2-1	C12orf75	50	148
ZCCHC2_CCDS45880.1_ex0_18:60190937-60190960:+_5-1	ZCCHC2	203	308
S100A14_CCDS1046.1_ex1_1:153587739-153587762:-_5-3	S100A14	1223	593
MARC2_CCDS1525.1_ex3_1:220936297-220936320:+_10-5	MARC2	109	151
ZNF865_CCDS58681.1_ex0_19:56125637-56125660:-_5-4	ZNF865	925	372
PDGFD_CCDS41703.1_ex4_11:103866817-103866840:-_5-1	PDGFD	423	283
SLC13A1_CCDS5786.1_ex8_7:122787251-122787274:-_5-2	SLC13A1	239	229
HES3_CCDS41238.1_ex1_1:6304667-6304690:+_5-2	HES3	595	492
FBXW10_CCDS11199.3_ex11_17:18675759-18675782:+_7-4	FBXW10	360	191
NTN3_CCDS10469.1_ex0_16:2522348-2522371:-_5-1	NTN3	552	462
ANGPTL5_CCDS8312.1_ex3_11:101773338-101773361:+_5-2	ANGPTL5	1	13
TAF11_CCDS4797.1_ex3_6:34850814-34850837:-_5-2	TAF11	18	16
ATP13A5_CCDS33914.1_ex18_3:193048998-193049021:+_5-1	ATP13A5	470	262
LYRM4_CCDS4493.1_ex1_6:5216849-5216872:+_5-1	LYRM4	7	237
ATXN7L3B_CCDS53815.1_ex0_12:74932072-74932095:+_5-5	ATXN7L3B	295	171
PSMC3IP_CCDS11431.1_ex4_17:40726170-40726193:-_5-5	PSMC3IP	308	227
TTF1_CCDS6948.1_ex9_9:135277010-135277033:-_5-2	TTF1	102	157
CHAT_CCDS44389.1_ex6_10:50835771-50835794:+_5-4	CHAT	1104	737
RINL_CCDS12522.1_ex4_19:39361448-39361471:+_5-3	RINL	2451	1293
FGFBP3_CCDS7418.1_ex0_10:93668437-93668460:-_5-3	FGFBP3	1691	884
PCDHA8_CCDS54919.1_ex0_5:140221396-140221419:+_5-2	PCDHA8	33	46
TMPRSS3_CCDS13686.1_ex9_21:43809055-43809078:-_5-4	TMPRSS3	395	357
NRF1_CCDS5813.2_ex1_7:129311367-129311390:+_5-3	NRF1	65	618
WISP1_CCDS56555.1_ex1_8:134225352-134225375:+_17-7	WISP1	1206	534
WFDC10B_CCDS13365.1_ex0_20:44313552-44313575:+_7-3	WFDC10B	107	179
CRY1_CCDS9112.1_ex7_12:107395072-107395095:-_5-2	CRY1	404	294
POPDC3_CCDS5052.1_ex2_6:105609454-105609477:+_5-5	POPDC3	583	692
C17orf59_CCDS11133.2_ex0_17:8092957-8092980:+_5-1	C17orf59	113	205
ADRA2C_CCDS47004.1_ex0_4:3768776-3768799:+_5-2	ADRA2C	0	0
HMGA1_CCDS4788.1_ex1_6:34210561-34210584:-_6-6	HMGA1	567	842
RGS4_CCDS1243.1_ex3_1:163043342-163043365:+_12-10	RGS4	241	229
HMHA1_CCDS32863.1_ex12_19:1080070-1080093:-_5-5	HMHA1	1115	573
PLAC9_CCDS31232.1_ex1_10:81901910-81901933:+_5-3	PLAC9	802	561
PGRMC1_CCDS14576.1_ex0_X:118370448-118370471:+_6-1	PGRMC1	1644	809
KIAA1671_CCDS46676.1_ex2_22:25435334-25435357:+_5-5	KIAA1671	1941	823
PIGZ_CCDS3324.1_ex0_3:196675173-196675196:-_5-3	PIGZ	649	418
WDR41_CCDS4038.1_ex9_5:76758919-76758942:+_5-5	WDR41	94	152
GJB1_CCDS14408.1_ex0_X:70443952-70443975:+_5-4	GJB1	831	498
TRIB3_CCDS12997.1_ex0_20:368745-368768:+_5-1	TRIB3	557	281
MOGS_CCDS42700.1_ex0_2:74690016-74690039:+_5-2	MOGS	1324	370
ITPKA_CCDS10076.1_ex0_15:41786565-41786588:-_5-3	ITPKA	1124	707
PRR4_CCDS41756.1_ex0_12:10999869-10999892:+_9-5	PRR4	761	362
C10orf12_CCDS7452.1_ex0_10:98742173-98742196:-_5-3	C10orf12	799	374
KCTD10_CCDS9128.1_ex5_12:109907318-109907341:-_5-5	KCTD10	210	395
EPS8_CCDS31753.1_ex10_12:15811498-15811521:-_5-2	EPS8	294	355
TGFA_CCDS1905.1_ex3_2:70692814-70692837:+_5-5	TGFA	42	70
CENPN_CCDS10931.1_ex0_16:81045657-81045680:+_5-1	CENPN	165	105
HMSD_CCDS42441.1_ex1_18:61621668-61621691:+_5-2	HMSD	14	50
ENTPD3_CCDS2691.1_ex5_3:40457469-40457492:-_5-4	ENTPD3	146	78
CTNNBL1_CCDS13298.1_ex1_20:36361428-36361451:+_5-1	CTNNBL1	111	114
ANKMY2_CCDS5361.1_ex7_7:16666729-16666752:-_5-5	ANKMY2	394	406
DSCR4_CCDS33554.1_ex2_21:39493230-39493253:+_5-5	DSCR4	68	316
LEPR_CCDS30740.1_ex5_1:66064398-66064421:+_5-4	LEPR	519	345
IL1F10_CCDS2112.1_ex2_2:113832350-113832373:+_5-4	IL1F10	56	241
TNFSF11_CCDS9384.1_ex3_13:43175033-43175056:+_5-2	TNFSF11	341	344
COG2_CCDS1584.1_ex3_1:230798927-230798950:+_5-3	COG2	29	52
EML1_CCDS32154.1_ex7_14:100363514-100363537:-_5-1	EML1	281	281
FAM217A_CCDS4489.1_ex0_6:4070013-4070036:+_5-3	FAM217A	711	505
ATP6V1B1_CCDS1912.1_ex0_2:71163191-71163214:-_5-1	ATP6V1B1	379	571
PDE1B_CCDS53800.1_ex2_12:54963133-54963156:+_5-2	PDE1B	322	578
GRM4_CCDS4787.1_ex7_6:34029704-34029727:-_5-4	GRM4	1458	658
ITGAD_CCDS32438.1_ex2_16:31408664-31408687:+_5-1	ITGAD	548	549
ZFR2_CCDS45922.1_ex0_19:3852551-3852574:-_8-7	ZFR2	3465	1115
AGPAT9_CCDS3606.1_ex2_4:84502750-84502773:+_5-1	AGPAT9	575	462
DIO2_CCDS45146.1_ex0_14:80669527-80669550:-_5-1	DIO2	289	301
BLVRA_CCDS5472.1_ex2_7:43830945-43830968:-_5-3	BLVRA	848	551
SAG_CCDS46545.1_ex5_2:234235812-234235835:-_5-3	SAG	896	784
TRIAP1_CCDS9198.1_ex1_12:120884086-120884109:-_5-5	TRIAP1	3	83
PACSIN2_CCDS43023.1_ex7_22:43287161-43287184:+_5-4	PACSIN2	627	581
KIAA0319L_CCDS390.1_ex14_1:35932207-35932230:-_5-3	KIAA0319L	1640	493
ADAM29_CCDS3823.1_ex0_4:175897600-175897623:-_5-5	ADAM29	877	491
EIF2D_CCDS1465.1_ex12_1:206782798-206782821:-_5-4	EIF2D	191	222
ITM2C_CCDS2479.1_ex2_2:231740473-231740496:-_5-5	ITM2C	550	667
MAPK1_CCDS13795.1_ex3_22:22143061-22143084:+_5-1	MAPK1	101	45
MPZL2_CCDS8393.1_ex2_11:118133306-118133329:-_5-3	MPZL2	277	365
TCL1B_CCDS32151.1_ex1_14:96157166-96157189:-_5-5	TCL1B	77	530
SLC26A8_CCDS4813.1_ex12_6:35949908-35949931:+_5-3	SLC26A8	776	510
CHRM3_CCDS1616.1_ex0_1:240071304-240071327:-_5-5	CHRM3	728	343
GPR6_CCDS5079.1_ex0_6:110300623-110300646:+_5-4	GPR6	1597	595
EMC6_CCDS11033.1_ex0_17:3572634-3572657:-_5-5	EMC6	1799	696
GGA2_CCDS10611.1_ex14_16:23505683-23505706:+_5-4	GGA2	843	649
IFI16_CCDS1180.3_ex3_1:158988078-158988101:-_5-2	IFI16	534	203
ORMDL3_CCDS11355.1_ex1_17:38079497-38079520:+_5-3	ORMDL3	350	277
UPK1B_CCDS2985.1_ex1_3:118906727-118906750:-_5-3	UPK1B	750	810
CDC14B_CCDS43853.1_ex4_9:99285989-99286012:+_6-1	CDC14B	763	451
ACMSD_CCDS2173.2_ex4_2:135621158-135621181:+_5-5	ACMSD	558	458
CERS1_CCDS46021.1_ex4_19:19004321-19004344:-_5-4	CERS1	845	618
MARCH2_CCDS12202.1_ex0_19:8486839-8486862:+_10-6	MARCH2	824	646
TSPAN19_CCDS44949.1_ex2_12:85411342-85411365:-_5-1	TSPAN19	78	98
CYP20A1_CCDS2357.1_ex4_2:204131290-204131313:-_5-4	CYP20A1	850	448
RMND5A_CCDS1991.1_ex2_2:86979071-86979094:+_5-2	RMND5A	44	211
SEC61G_CCDS5513.1_ex1_7:54823540-54823563:-_4-2	SEC61G	79	177
ANKRD39_CCDS2028.1_ex1_2:97519186-97519209:-_5-2	ANKRD39	740	621
GLP1R_CCDS4839.1_ex5_6:39040691-39040714:-_5-5	GLP1R	0	0
MICALL2_CCDS5324.1_ex11_7:1484665-1484688:-_5-2	MICALL2	1024	644
TSPYL5_CCDS34927.1_ex0_8:98289349-98289372:-_5-2	TSPYL5	1482	772
TSPAN14_CCDS44448.1_ex1_10:82271968-82271991:+_5-4	TSPAN14	213	257
HSD11B1_CCDS1489.1_ex2_1:209880142-209880165:+_5-4	HSD11B1	259	239
KDM3A_CCDS1990.1_ex1_2:86677053-86677076:+_5-2	KDM3A	294	132
CXCL17_CCDS12608.1_ex2_19:42937926-42937949:-_5-4	CXCL17	304	416
GRIN2D_CCDS12719.1_ex3_19:48917665-48917688:+_5-4	GRIN2D	1198	593
CCSER2_CCDS31235.1_ex4_10:86198274-86198297:-_10-7	CCSER2	32	18
NCF4_CCDS13934.1_ex2_22:37260953-37260976:+_5-1	NCF4	1037	528
RBM7_CCDS66233.1_ex3_11:114276499-114276522:+_5-5	RBM7	249	185
RNF166_CCDS10969.1_ex2_16:88765377-88765400:+_9-3	RNF166	703	793
PIK3R2_CCDS12371.1_ex2_19:18271763-18271786:-_5-2	PIK3R2	890	565
SH3BGRL_CCDS14449.1_ex1_X:80532599-80532622:+_5-3	SH3BGRL	841	532
KCNU1_CCDS55220.1_ex7_8:36671802-36671825:+_5-2	KCNU1	1113	421
CHRM2_CCDS5843.1_ex0_7:136699773-136699796:-_5-2	CHRM2	157	228
RHNO1_CCDS58199.1_ex1_12:2997138-2997161:-_5-3	RHNO1	876	823
SMAGP_CCDS44889.1_ex1_12:51640532-51640555:+_5-5	SMAGP	1789	1300
E4F1_CCDS32370.1_ex6_16:2283075-2283098:+_5-4	E4F1	300	586
MUC1_CCDS1098.1_ex4_1:155160481-155160504:+_11-4	MUC1	0	93
DZANK1_CCDS46582.1_ex14_20:18429688-18429711:+_5-3	DZANK1	295	434
MFN2_CCDS30587.1_ex4_1:12058918-12058941:-_5-2	MFN2	282	528
ST6GALNAC6_CCDS6882.1_ex3_9:130656861-130656884:+_5-5	ST6GALNAC6	71	65
SEC14L1_CCDS11752.1_ex4_17:75190781-75190804:-_5-2	SEC14L1	643	363
MTMR14_CCDS43043.1_ex6_3:9714427-9714450:-_5-5	MTMR14	427	367
NEK9_CCDS9839.1_ex20_14:75590871-75590894:-_5-4	NEK9	254	445
MTMR6_CCDS9313.1_ex10_13:25840320-25840343:-_5-4	MTMR6	160	83
ITGA2B_CCDS32665.1_ex23_17:42462316-42462339:-_5-3	ITGA2B	1386	372
NXPE2_CCDS44738.1_ex2_11:114569287-114569310:-_5-4	NXPE2	774	621
MRPS21_CCDS950.1_ex1_1:150280561-150280584:+_5-4	MRPS21	103	667
KCNK2_CCDS31024.1_ex1_1:215259983-215260006:-_5-3	KCNK2	479	392
DCLK3_CCDS43064.1_ex3_3:36779750-36779773:-_5-3	DCLK3	50	131
KCNT1_CCDS35175.2_ex4_9:138645817-138645840:+_5-2	KCNT1	296	355
WNT1_CCDS8776.1_ex1_12:49373246-49373269:-_5-1	WNT1	548	324
ATOX1_CCDS47317.1_ex0_5:151125947-151125970:-_3-1	ATOX1	411	271
COL6A2_CCDS13728.1_ex11_21:47538558-47538581:-_5-5	COL6A2	1021	755
STPG1_CCDS253.1_ex4_1:24706234-24706257:+_5-3	STPG1	18	103
RBMX_CCDS14661.1_ex7_X:135961476-135961499:-_6-6	RBMX	0	34
SYTL2_CCDS31649.1_ex4_11:85416007-85416030:+_16-3	SYTL2	642	384
ARHGAP27_CCDS11498.1_ex7_17:43475407-43475430:-_10-2	ARHGAP27	405	851
YWHAQ_CCDS1666.1_ex2_2:9728355-9728378:+_5-1	YWHAQ	428	297
CDK5RAP1_CCDS13219.1_ex9_20:31979998-31980021:+_5-2	CDK5RAP1	140	111
ATRNL1_CCDS7592.1_ex4_10:116889219-116889242:-_5-3	ATRNL1	1772	760
CLDN22_CCDS43286.1_ex0_4:184241272-184241295:-_2-2	CLDN22	1271	649
SPACA7_CCDS9524.1_ex2_13:113052435-113052458:+_5-3	SPACA7	127	44
C11orf87_CCDS31672.1_ex0_11:109294730-109294753:+_5-5	C11orf87	590	419
LYPD5_CCDS12631.1_ex1_19:44302678-44302701:+_5-1	LYPD5	492	498
CPSF3L_CCDS21.1_ex9_1:1249720-1249743:-_5-2	CPSF3L	68	939
ACTR1A_CCDS7536.1_ex8_10:104248859-104248882:-_5-5	ACTR1A	1727	872
ADAMTSL3_CCDS10326.1_ex12_15:84566626-84566649:-_5-3	ADAMTSL3	690	394
DHX9_CCDS41444.1_ex8_1:182827976-182827999:-_5-3	DHX9	12	327
GPR15_CCDS2931.1_ex0_3:98251242-98251265:-_5-3	GPR15	285	246
SEC11A_CCDS45340.1_ex3_15:85230928-85230951:-_7-4	SEC11A	32	151
PCDHB16_CCDS4251.1_ex0_5:140563083-140563106:+_5-4	PCDHB16	239	219
ZNF236_CCDS42447.1_ex12_18:74617255-74617278:+_5-4	ZNF236	377	344
RABL3_CCDS3001.1_ex3_3:120417355-120417378:-_5-1	RABL3	63	10
PGLS_CCDS12361.1_ex0_19:17622677-17622700:+_5-3	PGLS	1374	783
HOMER2_CCDS45334.1_ex7_15:83561478-83561501:+_5-5	HOMER2	0	2
